short_name,long_name,units,dims,save,sometimes_absent,is_dim
CO2_w_rain,concentration of dissolved CO2 in rain water,mol L-1,time,Y,N,N
Ca,concentration of calcium in soil water ,mol L-1,time,Y,N,N
Ca_tot,calcium mass balance in soil water (aqueous + sorbed),mol,time,Y,N,N
H,concentration of hydrogen ions in soil water,mol L-1,time,Y,N,N
H_rain,concentration of hydrogen ions in rain water,mol L-1,time,Y,N,N
IC_tot,inorganic carbon mass balance,mol,time,Y,N,N
K,concentration of potassium in soil water,mol L-1,time,Y,N,N
K_tot,potassium mass balance (aqueous + sorbed),mol,time,Y,N,N
Mg,concentration of magnesium in soil water,mol L-1,time,Y,N,N
Mg_tot,magnesium mass balance (aqueous + sorbed),mol,time,Y,N,N
Na,concentration of sodium in soil water,mol L-1,time,Y,N,N
Na_tot,sodium mass balance (aqueous + sorbed),mol,time,Y,N,N
R_alk,reserve (sorbed) alkalinity (sum of sorbed cation fractions multiplied by CEC_tot),mol_c,time,Y,N,N
Zr,soil column depth (constant),m,[],Y,N,N
f_Ca,fraction of exchange sites occupied by calcium,unitless,time,Y,N,N
f_Al,fraction of exchange sites occupied by aluminum,unitless,time,Y,N,N
f_H,fraction of exchange sites occupied by hydrogen ions,unitless,time,Y,N,N
f_K,fraction of exchange sites occupied by potassium,unitless,time,Y,N,N
f_Mg,fraction of exchange sites occupied by magnesium,unitless,time,Y,N,N
f_Na,fraction of exchange sites occupied by sodium,unitless,time,Y,N,N
n,soil porosity (constant),unitless,[],Y,N,N
s,soil moisture,m3 m-3,time,Y,N,N
time,time,d,time,Y,N,Y
